shipinfo,发电机功率,主机平均转速,增压器转速,气缸排气量,气缸冷却水温度,燃料油量,柴油量,活塞冷却水温度,机油温度,减速箱油压,增压器压强,海水温度,机舱温度,发动机状态,增压器状态,气缸状态,油箱状态,更新时间
413294422,28.678,6263.2,3310.3,31.804,26.528,1402.1,932.67,57.368,78.651,77.719,71.777,34.489,36.407,中,优,差,差,2019-04-17/23/44
413295000,14.178,3415.5,5956.7,12.860,20.289,1236.2,1271.9,57.443,71.926,88.906,100.15,27.456,31.783,良,优,优,良,2019-04-17/23/44
413295420,17.319,2487.0,6434.9,41.958,27.904,788.08,762.82,43.389,86.716,88.094,98.235,34.290,36.760,中,良,中,中,2019-04-17/23/44
413302280,27.091,4650.7,5982.8,39.661,24.812,881.00,743.01,45.050,71.774,72.885,74.208,37.218,26.475,优,良,良,良,2019-04-17/23/44
413302290,18.613,2229.8,5254.8,17.512,24.908,571.98,678.35,38.223,85.433,80.253,72.058,20.087,37.991,优,中,中,良,2019-04-17/23/44
413302320,18.114,2471.0,2485.1,21.040,21.553,545.41,319.08,34.099,89.542,76.555,59.499,20.740,26.162,中,良,中,良,2019-04-17/23/44
413302330,27.349,5879.6,2232.2,35.894,30.126,1378.9,617.88,53.756,78.504,88.583,55.435,26.429,34.582,中,中,良,差,2019-04-17/23/44
413302340,18.152,2668.7,3426.2,26.761,25.439,1218.3,448.85,48.854,77.459,72.692,57.375,29.799,32.401,中,中,良,良,2019-04-17/23/44
413302350,26.471,3342.7,2660.3,19.046,20.239,780.22,835.72,43.961,82.835,68.507,67.080,37.731,30.552,中,优,差,良,2019-04-17/23/44
413302351,28.229,5588.1,4271.2,19.051,20.744,1490.7,560.19,55.415,89.034,62.483,77.778,21.754,34.890,良,中,良,中,2019-04-17/23/44
413302360,17.662,4251.0,4598.9,37.272,28.459,576.43,637.95,37.908,87.088,82.258,77.552,36.828,35.379,中,中,良,中,2019-04-17/23/44
413302370,27.355,2078.1,3356.4,12.618,21.366,1375.8,403.83,51.554,70.436,75.394,76.021,38.103,27.122,优,中,中,中,2019-04-17/23/44
413302380,24.599,4274.8,4481.7,32.637,23.211,1182.5,1075.0,54.4,78.635,67.466,72.469,28.768,36.582,良,良,中,良,2019-04-17/23/44
413302390,19.930,4460.1,6575.5,29.612,24.174,685.74,756.30,41.277,81.264,57.912,55.080,35.574,25.800,良,中,良,中,2019-04-17/23/44
